Situasjon;Kanal;MeldingsNummer;Avsender;Mottaker;Melding
1;Tor;1;Alice;Bob;Hi Bob, I'm on Tor now. I feel safer using this network
1;Tor;2;Bob;Alice;Yeah, agreed. Good choice to protect our privacy. How's everything?
1;Tor;3;Alice;Bob;It's going well! Have you checked the latest news?
1;Tor;4;Bob;Alice;No, not yet. Might be a good idea to stay updated, especially via Tor
1;Tor;5;Alice;Bob;Absolutely. I think we're avoiding a lot of tracking by chatting here
1;Tor;6;Bob;Alice;Yes, we're pretty hidden. Do you think more people will start using Tor?
1;Tor;7;Alice;Bob;I hope so. Privacy is becoming more important every day due to increased surveillance. What about you?
1;Tor;8;Bob;Alice;Definitely. Have you tried any other privacy tools recently?
1;Tor;9;Alice;Bob;Yes, I've been experimenting with VPNs and encrypted messaging apps
1;Tor;10;Bob;Alice;That's great! We should compare notes on what works best
1;Tor;11;Bob;Alice;Sure, let's do that. Have you tried any new tools recently?
1;Tor;12;Alice;Bob;Yes, I found a new encrypted email service. It's quite secure
1;Tor;13;Bob;Alice;Sounds interesting. What's it called?
1;Tor;14;Alice;Bob;It's called ProtonMail. You should check it out
1;Tor;15;Bob;Alice;I will. Thanks for the tip!
1;Tor;16;Alice;Bob;No problem. Always good to stay updated on security tools
1;Tor;17;Bob;Alice;Absolutely. Have you heard about Signal?
1;Tor;18;Alice;Bob;Yes, but I've been using Briar lately. It's supposed to be more secure than Signal
1;Tor;19;Bob;Alice;Good to hear. I'll start using Briar even more
1;Tor;20;Alice;Bob;It's great for secure messaging. We should consider using it more often
1;Tor;21;Bob;Alice;By the way, have you played CS:GO recently?
1;Tor;22;Alice;Bob;Yes, I have! It's still as exciting as ever. Have you tried CS:GO2?
1;Tor;23;Bob;Alice;Not yet, but I've heard great things about it. How is it?
1;Tor;24;Alice;Bob;It's amazing! The graphics and gameplay have improved a lot
1;Tor;25;Bob;Alice;That's awesome. We should play together sometime
1;Tor;26;Alice;Bob;Definitely! Let's set up a time this weekend
1;Tor;27;Bob;Alice;Sounds good. Do you have any tips for CS:GO2?
1;Tor;28;Alice;Bob;Yes, focus on teamwork and communication. It makes a huge difference
1;Tor;29;Bob;Alice;Got it. I'll keep that in mind. Any favorite maps?
1;Tor;30;Alice;Bob;I really like the new maps they introduced. They add a fresh challenge
1;Tor;31;Bob;Alice;Can't wait to try them out. Any other games you're into?
1;Tor;32;Alice;Bob;I've been playing a lot of strategy games lately. How about you?
1;Tor;33;Bob;Alice;Same here. Strategy games are a great way to unwind
1;Tor;34;Alice;Bob;Absolutely. They really make you think
1;Tor;35;Bob;Alice;By the way, have you heard about the latest update in CS:GO?
1;Tor;36;Alice;Bob;Yes, the new weapons and skins are pretty cool
1;Tor;37;Bob;Alice;Agreed. It's always exciting to see new content
1;Tor;38;Alice;Bob;For sure. Keeps the game interesting
1;Tor;39;Bob;Alice;Do you follow any CS:GO tournaments?
1;Tor;40;Alice;Bob;Yes, I love watching the pros play. It's inspiring
1;Tor;41;Bob;Alice;Same here. The skill level is incredible
1;Tor;42;Bob;Alice;We should watch a tournament together sometime
1;Tor;43;Alice;Bob;That would be fun! Let's plan for it
1;Tor;44;Bob;Alice;Great idea. Looking forward to it
1;Tor;45;Alice;Bob;Me too. It's always more fun with friends
1;Tor;46;Bob;Alice;Definitely. Do you have any favorite teams?
1;Tor;47;Alice;Bob;I really like Team Liquid. How about you?
1;Tor;48;Alice;Bob;Can't wait to see them in action
1;Tor;49;Alice;Bob;By the way, have you heard about Rain? He's one of the best Norwegian CS players
1;Tor;50;Bob;Alice;Yes, Rain is incredible. His skills are top-tier
2;WiFi;1;Alice;Bob;Bob, are you on the same WiFi network as me right now?
2;WiFi;2;Bob;Alice;Yeah, connected. Notice how messages are much faster here than over Tor?
